tweet,tweet_is_directed_at,emotion,character_count,word_count,is_tweet_negative,is_apple,number_of_mentions,hashtags_count,average_word_length
Can't believe how slow the new iPhone is!,Apple,negative,37,8,1,1,0,0,4.6
Google search results are so frustrating!,Google,negative,37,6,1,0,0,0,6.2
The latest Apple update crashed my device again!,Apple,negative,45,9,1,1,0,0,4.8
I'm so disappointed with Google's new feature.,Google,negative,40,8,1,0,0,0,5
Apple's customer service is a nightmare!,Apple,negative,38,7,1,1,0,0,5.4
I can't stand using Google Maps anymore!,Google,negative,41,8,1,0,0,0,5.1
"Another day, another Apple product failure!",Apple,negative,36,7,1,1,0,0,5.1
Google Pixel camera quality is so disappointing!,Google,negative,44,7,1,0,0,0,6.3
My iPhone battery life is a joke!,Apple,negative,34,8,1,1,0,0,4.3
Google's new update is causing issues!,Google,negative,38,7,1,0,0,0,5.4
Apple products never seem to work properly.,Apple,negative,39,6,1,1,0,0,6.5
I'm tired of dealing with Google's bugs.,Google,negative,36,8,1,0,0,0,4.5
Apple's software updates are a disaster!,Apple,negative,39,7,1,1,0,0,5.6
Google's customer service is terrible!,Google,negative,38,7,1,0,0,0,5.4
Can't believe the iPhone's high price for this!,Apple,negative,41,9,1,1,0,0,4.6
Google's latest update is a mess!,Google,negative,35,6,1,0,0,0,5.8
Apple's customer support is unhelpful.,Apple,negative,36,7,1,1,0,0,5.1
Google's privacy policies are concerning.,Google,negative,38,6,1,0,0,0,6.3
The iPhone's battery drains too quickly!,Apple,negative,37,7,1,1,0,0,5.3
Google's products keep crashing!,Google,negative,33,5,1,0,0,0,6.6
Apple's new update is full of bugs!,Apple,negative,36,7,1,1,0,0,5.1
I'm so disappointed with Google's service.,Google,negative,35,7,1,0,0,0,5
The iPhone's camera quality is poor.,Apple,negative,34,6,1,1,0,0,5.7
Google's search results are inaccurate.,Google,negative,36,6,1,0,0,0,6
Apple's products are overpriced and underwhelming.,Apple,negative,46,8,1,1,0,0,5.8
Google's software updates always cause problems.,Google,negative,42,7,1,0,0,0,6
Google's customer service is a nightmare!,Google,negative,40,7,1,0,0,0,5.7
Can't believe the iPhone's camera quality.,Apple,negative,38,7,1,1,0,0,5.4
Google's latest update is causing issues again!,Google,negative,44,8,1,0,0,0,5.5
Apple's software updates are frustrating.,Apple,negative,38,6,1,1,0,0,6.3
Google's privacy policies need improvement.,Google,negative,40,5,1,0,0,0,8
The iPhone's battery life is terrible!,Apple,negative,37,6,1,1,0,0,6.2
Google's search results are so disappointing.,Google,negative,41,7,1,0,0,0,5.9
Apple's customer support is unresponsive.,Apple,negative,39,8,1,1,0,0,4.9
I can't believe I wasted money on a Google Pixel!,Google,negative,43,9,1,0,0,0,4.8
Apple's products are not worth the hype.,Apple,negative,39,7,1,1,0,0,5.6
Google's new feature is causing crashes.,Google,negative,39,6,1,0,0,0,6.5
The iPhone's software is full of bugs!,Apple,negative,37,7,1,1,0,0,5.3
Google's customer service is slow and unhelpful.,Google,negative,43,8,1,0,0,0,5.4
Apple's latest update ruined my device!,Apple,negative,38,7,1,1,0,0,5.4
I'm so frustrated with Google's products.,Google,negative,35,6,1,0,0,0,5.8
Apple's customer service never responds.,Apple,negative,38,6,1,1,0,0,6.3
The Google Pixel's battery drains too quickly!,Google,negative,41,8,1,0,0,0,5.1
"My iPhone keeps freezing, what a disappointment!",Apple,negative,46,8,1,1,0,0,5.8
Google's software updates always break things.,Google,negative,43,6,1,0,0,0,7.2
Apple's product quality is going downhill.,Apple,negative,40,6,1,1,0,0,6.7
Google's search algorithm is a disaster!,Google,negative,38,6,1,0,0,0,6.3
The new iPhone update is causing crashes!,Apple,negative,38,7,1,1,0,0,5.4
I regret buying a Google product.,Google,negative,34,6,1,0,0,0,5.7
Apple's customer service is a disappointment.,Apple,negative,42,7,1,1,0,0,5.8
Google's latest update is a letdown.,Google,negative,35,7,1,0,0,0,5
Google's new update is a disaster.,Google,negative,37,7,1,0,0,0,5.3
Apple's products are overpriced junk.,Apple,negative,37,7,1,1,0,0,5.3
Can't believe how terrible Google is.,Google,negative,37,6,1,0,0,0,6.2
Apple's latest software update is a mess.,Apple,negative,37,8,1,1,0,0,4.6
Google's customer support is nonexistent.,Google,negative,38,7,1,0,0,0,5.4
The iPhone's battery life is awful.,Apple,negative,34,7,1,1,0,0,4.9
Google's search results are terrible.,Google,negative,36,7,1,0,0,0,5.1
Apple's customer service is a joke.,Apple,negative,34,7,1,1,0,0,4.9
Google's products never work as promised.,Google,negative,39,7,1,0,0,0,5.6
The iPhone's camera quality is disappointing.,Apple,negative,41,6,1,1,0,0,6.8
Google's new feature is a disaster.,Google,negative,39,7,1,0,0,0,5.6
Apple's software updates are buggy as always.,Apple,negative,41,7,1,1,0,0,5.9
Google's customer service is frustrating.,Google,negative,38,6,1,0,0,0,6.3
The iPhone's battery life is a disappointment.,Apple,negative,40,7,1,1,0,0,5.7
Google's new update ruined my device.,Google,negative,38,7,1,0,0,0,5.4
Apple's customer support is unhelpful.,Apple,negative,36,6,1,1,0,0,6
I'm so disappointed with Google's products.,Google,negative,41,7,1,0,0,0,5.9
Apple's latest update is a letdown.,Apple,negative,38,7,1,1,0,0,5.4
Google's search algorithm needs fixing.,Google,negative,40,6,1,0,0,0,6.7
The iPhone's camera quality is poor.,Apple,negative,37,6,1,1,0,0,6.2
Google's customer service is a nightmare.,Google,negative,42,7,1,0,0,0,6
Apple's latest update is causing issues.,Apple,negative,38,7,1,1,0,0,5.4
Google's privacy policies are concerning.,Google,negative,39,7,1,0,0,0,5.6
"Ugh, just updated my iPhone and it's a mess!",Apple,negative,46,10,1,1,0,0,4.6
"Google's new design is so confusing, I'm lost!",Google,negative,47,9,1,0,0,0,5.2
